/home/ccyuan/Project/KG_cash/datasets/complex-web-questions-dataset/ComplexWebQuestions_train.json: +10,215 entities
/home/ccyuan/Project/KG_cash/datasets/complex-web-questions-dataset/ComplexWebQuestions_dev.json: +845 entities
/home/ccyuan/Project/KG_cash/datasets/complex-web-questions-dataset/ComplexWebQuestions_test.json: +780 entities
total CWQ entities: 11,840
read=1,000,000 kept=52,644
read=2,000,000 kept=88,134
read=3,000,000 kept=111,096
read=4,000,000 kept=125,174
read=5,000,000 kept=156,318
read=6,000,000 kept=193,061
read=7,000,000 kept=242,140
read=8,000,000 kept=268,579
read=9,000,000 kept=279,585
read=10,000,000 kept=328,148
read=11,000,000 kept=354,216
read=12,000,000 kept=389,583
read=13,000,000 kept=412,221
read=14,000,000 kept=428,797
read=15,000,000 kept=481,190
read=16,000,000 kept=512,264
read=17,000,000 kept=543,206
read=18,000,000 kept=556,118
read=19,000,000 kept=573,103
read=20,000,000 kept=624,415
read=21,000,000 kept=658,195
read=22,000,000 kept=683,840
read=23,000,000 kept=697,259
read=24,000,000 kept=739,042
read=25,000,000 kept=768,915
read=26,000,000 kept=801,994
read=27,000,000 kept=831,190
read=28,000,000 kept=841,806
read=29,000,000 kept=892,191
read=30,000,000 kept=918,559
read=31,000,000 kept=953,004
read=32,000,000 kept=995,561
read=33,000,000 kept=1,009,629
read=34,000,000 kept=1,062,310
read=35,000,000 kept=1,094,842
read=36,000,000 kept=1,108,583
read=37,000,000 kept=1,128,385
read=38,000,000 kept=1,141,115
read=39,000,000 kept=1,193,998
read=40,000,000 kept=1,233,155
read=41,000,000 kept=1,268,355
read=42,000,000 kept=1,283,514
read=43,000,000 kept=1,305,543
read=44,000,000 kept=1,351,088
read=45,000,000 kept=1,387,268
read=46,000,000 kept=1,407,472
read=47,000,000 kept=1,421,580
read=48,000,000 kept=1,464,524
read=49,000,000 kept=1,502,193
read=50,000,000 kept=1,535,307
read=51,000,000 kept=1,560,945
read=52,000,000 kept=1,570,920
read=53,000,000 kept=1,621,855
read=54,000,000 kept=1,652,524
read=55,000,000 kept=1,686,926
read=56,000,000 kept=1,704,149
read=57,000,000 kept=1,718,600
read=58,000,000 kept=1,770,854
read=59,000,000 kept=1,804,876
read=60,000,000 kept=1,828,226
read=61,000,000 kept=1,842,730
read=62,000,000 kept=1,875,331
read=63,000,000 kept=1,912,576
read=64,000,000 kept=1,988,006
read=65,000,000 kept=2,014,821
read=66,000,000 kept=2,026,294
read=67,000,000 kept=2,074,606
read=68,000,000 kept=2,102,285
read=69,000,000 kept=2,155,678
read=70,000,000 kept=2,192,940
read=71,000,000 kept=2,204,987
read=72,000,000 kept=2,256,850
read=73,000,000 kept=2,284,646
read=74,000,000 kept=2,318,201
read=75,000,000 kept=2,331,077
read=76,000,000 kept=2,349,127
read=77,000,000 kept=2,401,698
read=78,000,000 kept=3,045,816
read=79,000,000 kept=3,078,069
read=80,000,000 kept=3,104,493
read=81,000,000 kept=3,116,790
read=82,000,000 kept=3,168,638
read=83,000,000 kept=3,193,638
read=84,000,000 kept=3,232,950
read=85,000,000 kept=3,251,330
read=86,000,000 kept=3,268,258
read=87,000,000 kept=3,320,074
read=88,000,000 kept=3,352,241
read=89,000,000 kept=3,377,357
read=90,000,000 kept=3,391,495
read=91,000,000 kept=3,427,272
read=92,000,000 kept=3,469,804
read=93,000,000 kept=3,515,956
read=94,000,000 kept=3,539,192
read=95,000,000 kept=3,551,666
read=96,000,000 kept=3,600,748
read=97,000,000 kept=3,628,297
read=98,000,000 kept=3,659,912
read=99,000,000 kept=3,680,693
read=100,000,000 kept=3,692,709
read=101,000,000 kept=3,745,287
read=102,000,000 kept=3,782,734
read=103,000,000 kept=3,812,664
read=104,000,000 kept=3,825,602
read=105,000,000 kept=3,844,780
read=106,000,000 kept=3,902,270
read=107,000,000 kept=3,957,062
read=108,000,000 kept=3,978,475
read=109,000,000 kept=3,991,935
read=110,000,000 kept=4,033,575
read=111,000,000 kept=4,064,153
read=112,000,000 kept=4,118,557
read=113,000,000 kept=4,142,023
read=114,000,000 kept=4,152,165
read=115,000,000 kept=4,203,456
read=116,000,000 kept=4,229,174
read=117,000,000 kept=4,306,544
read=118,000,000 kept=4,326,449
read=119,000,000 kept=4,339,012
read=120,000,000 kept=4,392,376
read=121,000,000 kept=4,426,613
read=122,000,000 kept=4,454,276
